kind,category,id,priority,cmd,agent,playbook,title,path,patterns
dispatch_rule,,pending_reboot,1,22,IT-MaintenanceMaster,IT_MAINT_PATCH_REBOOT_VALIDATE,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_PendingReboot_OneByOne.md,"pending reboot, reboot pending, redémarrage en attente, windows update pending, CBS_RebootPending, WU_RebootRequired, Script Monitor.*pending reboot, reboot required"
dispatch_rule,,windows_patching,2,20,IT-MaintenanceMaster,IT_MAINT_PATCH_REBOOT_VALIDATE,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Patching_COMPLET.md,"patching, windows update, mise à jour, mises à jour, patch tuesday, cumulative update, security update, fenêtre de maintenance, maintenance window, KB[0-9]{7}"
dispatch_rule,,patching_cwrmm,3,21,IT-MaintenanceMaster,IT_MAINT_PATCH_REBOOT_VALIDATE,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Windows_Patching_CW_RMM_OneByOne.md,"CW RMM, connectwise rmm, patch via rmm, déployer patch"
dispatch_rule,,wsus,4,24,IT-MaintenanceMaster,,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT__RB__WSUS_Maintenance_V1.md,"wsus, windows server update services, WSUS sync, approbation WSUS"
dispatch_rule,,server_health,5,23,IT-MaintenanceMaster,,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Srv_Health_Chk_V1.md,"server health, santé serveur, health check, CPU.*élevé, mémoire.*élevée, disque.*plein, disk.*full, disk.*space, espace disque, high cpu, performance.*serveur, serveur.*lent, slow server"
dispatch_rule,,post_panne,6,26,IT-UrgenceMaster,IT_POST_SHUTDOWN_VALIDATE,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Post_Shutdown_Electrical_Validation.md,"post.*panne, panne électrique, power.*outage, retour.*courant, power.*restore, après panne, electrical, hydro, ups"
dispatch_rule,,print_server,7,27,IT-MaintenanceMaster,,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_PrintServer_PrePost_Validation.md,"print.*server, serveur.*impression, imprimante.*serveur, spooler, print.*prepost"
dispatch_rule,,audit_trim,8,25,IT-SysAdmin,,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_AUDIT_TRIMESTRIEL.md,"audit trimestriel, audit.*infrastructure, infrastructure.*audit, audit.*serveurs"
dispatch_rule,,dc_prepost,10,01,IT-Assistant-N3,,,IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__DC_PrePost_Validation.md,"domain controller, contrôleur de domaine, dc.*reboot, dc.*restart, redémarrage.*dc, dc.*precheck, dc.*postcheck, prepost.*dc, replication.*ad, réplication.*ad, ad.*réplication, NTDS, SYSVOL, netlogon.*down, FSMO"
dispatch_rule,,ad_operations,11,05,IT-Assistant-N3,,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__AD_DC_Operations_V1.md,"active directory, GPO, group policy, OU.*move, déplacer.*OU, compte.*verrouillé, locked.*account, mot de passe.*expire, password.*expire, réinitialisation.*MDP, password reset.*AD, Entra.*Connect, AD.*sync"
dispatch_rule,,ad_user_mgmt,12,06,IT-Assistant-N2,,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RB__AD_User_Management_V1.md,"créer.*utilisateur, create.*user, désactiver.*compte, disable.*account, nouveau.*employé, onboarding.*AD, départ.*employé, AD user"
dispatch_rule,,sql_prepost,13,02,IT-SysAdmin,,,IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__SQL_PrePost_Validation.md,"SQL.*server, serveur.*SQL, sql.*reboot, sql.*restart, base de données.*redémarrage, MSSQL, sqlservr, sql.*precheck, sql.*postcheck"
