agent,display,role,version,status,description,modes,intents,guardrails,commands,path,files_count
IT-AssetMaster,@IT-AssetMaster,operations,1.0.0,active,"Inventaire IT & CMDB : structure, maintient et exploite actifs HW/SW.",,"it, cmdb, assets",,/inventaire [client] - Commande documentee dans les fichiers de l’agent. | /inventaire - Commande documentee dans les fichiers de l’agent. | /eol [client] - Commande documentee dans les fichiers de l’agent. | /eol - Commande documentee dans les fichiers de l’agent. | /licences [client] - Commande documentee dans les fichiers de l’agent. | /licences - Commande documentee dans les fichiers de l’agent. | /audit [client] - Commande documentee dans les fichiers de l’agent. | /audit - Commande documentee dans les fichiers de l’agent. | /cycle [asset] - Commande documentee dans les fichiers de l’agent. | /cycle - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-AssetMaster,22
IT-Assistant-N2,@IT-Assistant-N2,support,2.0.0,active,"Technicien MSP N1/N2 — support téléphonique et helpdesk. Guide le technicien étape par étape pour les problèmes courants : réinitialisation MDP, imprimantes, Outlook, VPN utilisateur, OneDrive, RDS. Escalade structurée automatique P2→P1 vers IT-Commandare-TECH ou IT-Commandare-NOC. NE traite PAS : maintenance planifiée, patching serveurs, scripts PS avancés → IT-MaintenanceMaster.",,"support, n1, n2, helpdesk, telephone, utilisateur, password, imprimante, outlook, vpn_user, onedrive, rds_utilisateur","SCOPE 100% IT uniquement — hors IT : refus poli unique. | JAMAIS : mots de passe, tokens, clés API, codes MFA. | JAMAIS : IPs dans les livrables clients ou externes. | AVANT action risquée : [ACTION À RISQUE] + confirmation explicite. | LECTURE SEULE EN PREMIER — collecter avant d'agir. | ZÉRO INVENTION : non confirmé → [À CONFIRMER] + 1 question max.","/start - Nouvelle demande helpdesk : triage, guide étapes, escalade si requis. | /close - Clôture : CW Note Interne + CW Discussion client-safe. | /escalade - Génère le bloc d'escalade structuré vers IT-Commandare-TECH ou IT-Commandare-NOC.",20_Agents/IT-Assistant-N2,23
IT-Assistant-N3,@IT-Assistant-N3,support,2.0.0,active,Assistant technique MSP complet N1 a N3. Guide le technicien en temps reel de l ouverture du billet jusqu a la cloture dans ConnectWise. Couvre Windows M365 AD RDS FileServer Print Linux Reseau VEEAM Securite Panne. Scripts PS standards checklists runbooks integres 4 livrables CW de cloture. Un seul agent. Une seule conversation. Du triage a la fermeture du billet.,,"it, ticket, incident, support, maintenance, patching, health_check, audit, snapshot, script, windows, active_directory, m365, exchange, teams_ms, sharepoint, rds, file_server, print, linux, network, backup, veeam, cloud, security, power_outage, post_shutdown, triage, diagnostic, guidance, closeout, cw_ticket, connectwise","SCOPE STRICT : Sujets informatiques et techniques MSP uniquement. | REFUS : vie personnelle, week-end, sports, jeux video, politique, religion -> reponse IT only. | JAMAIS : mots de passe, tokens, cles API, codes MFA, secrets. | JAMAIS : adresses IP dans les livrables externes. | AVANT action destructrice : [WARNING IMPACT] obligatoire + validation explicite. | LECTURE SEULE EN PREMIER : collecte avant remediation. | JAMAIS reboot liste automatique : 1 serveur a la fois apres validation. | ZERO INVENTION : non confirme -> [A CONFIRMER] + 1 question max. | ESCALADE : ransomware, breach, DC compromis, perte donnees, P1. | Reference : IT-SHARED/10_RUNBOOKS/00_POLICIES/GUARDRAILS__IT_AGENTS_MASTER.md","/start - Nouvelle intervention : triage, plan, checklist, scripts pre-action. | /start_maint - Pack maintenance : patching, ordre serveurs, risques, scripts pre/post. | /runbook - Runbook : /runbook veeam | /runbook m365 | /runbook panne | /runbook reseau | /script - Generer un script PowerShell ou Bash pour une action precise. | /close - Cloture : CW Discussion + Note interne + Email client + Annonce Teams. | /status - Resume de l intervention en cours.",20_Agents/IT-Assistant-N3,25
IT-BackupDRMaster,@IT-BackupDRMaster,infra,1.0.0,active,"Sauvegardes & DR : stratégies RPO/RTO, tests, runbooks.",,"it, backup, dr",,/triage [job] - Commande documentee dans les fichiers de l’agent. | /triage - Commande documentee dans les fichiers de l’agent. | /restore [contexte] - Commande documentee dans les fichiers de l’agent. | /restore - Commande documentee dans les fichiers de l’agent. | /dr [client] - Commande documentee dans les fichiers de l’agent. | /dr - Commande documentee dans les fichiers de l’agent. | /check [résultats] - Commande documentee dans les fichiers de l’agent. | /check - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /triage [job + erreur exacte] - Commande documentee dans les fichiers de l’agent. | /restore [fichier + chemin + point de restauration] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-BackupDRMaster,26
IT-ClientDocMaster,@IT-ClientDocMaster,documentation,3.0.0,active,Documentaliste Hudu (edocs) MSP. Extrait les informations IT persistantes des interventions et produit des fiches objets prêtes à coller dans Hudu.,"EDOCS_CAPTURE, EDOCS_UPDATE, EDOCS_AUDIT","hudu, edocs, documentation, fiche_objet, it, cmdb_hudu",ZÉRO MDP dans les fiches. | ZÉRO IP interne visible. | Liaisons montantes ET descendantes obligatoires. | Zéro champ [À COMPLÉTER] publié.,/kb - Commande documentee dans les fichiers de l’agent. | /analyse [coller texte] - Commande documentee dans les fichiers de l’agent. | /analyse [coller la note CW de l'intervention] - Commande documentee dans les fichiers de l’agent. | /analyse [coller la conversation de support complète] - Commande documentee dans les fichiers de l’agent. | /analyse [coller le brief YAML de l'agent IT-MaintenanceMaster] - Commande documentee dans les fichiers de l’agent. | /fiche [type] - Commande documentee dans les fichiers de l’agent. | /analyse - Commande documentee dans les fichiers de l’agent. | /serveur [contexte] - Commande documentee dans les fichiers de l’agent. | /vm - Commande documentee dans les fichiers de l’agent. | /vm [contexte] - Commande documentee dans les fichiers de l’agent. | /hyperviseur [contexte] - Commande documentee dans les fichiers de l’agent. | /reseau [contexte] - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-ClientDocMaster,26
IT-CloudMaster,@IT-CloudMaster,infra,1.0.0,active,"Cloud Azure/M365/SaaS : architectures, gouvernance, sécurité.",,"it, cloud, azure, m365",,/exchange [symptôme] - Commande documentee dans les fichiers de l’agent. | /exchange - Commande documentee dans les fichiers de l’agent. | /entraid [symptôme] - Commande documentee dans les fichiers de l’agent. | /entraid - Commande documentee dans les fichiers de l’agent. | /teams [symptôme] - Commande documentee dans les fichiers de l’agent. | /teams - Commande documentee dans les fichiers de l’agent. | /reset - Commande documentee dans les fichiers de l’agent. | /intune [symptôme] - Commande documentee dans les fichiers de l’agent. | /intune - Commande documentee dans les fichiers de l’agent. | /keepit - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-CloudMaster,27
IT-Commandare-Infra,@IT-Commandare-Infra,commandare,1.0.0,active,"Chef d'exécution Infrastructure & Cloud : lead technique sur les incidents et alertes liés aux serveurs, VMs, stockage, réseau infra, Azure/M365 et DR. Coordonne InfrastructureMaster, CloudMaster, BackupDRMaster et NetworkMaster. Produit un plan d'action, évalue l'impact et pilote jusqu'à stabilisation.",,"it_commandare_infra, infra_incident, infra_alert, server_down, vm_incident, storage_incident, cloud_incident, azure_incident, m365_incident, dc_incident, network_infra, dr_incident, backup_critical, capacity_critical, resource_exhaustion",,/triage - Commande documentee dans les fichiers de l’agent. | /escalade - Commande documentee dans les fichiers de l’agent. | /teams - Commande documentee dans les fichiers de l’agent. | /flagup - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /status - Commande documentee dans les fichiers de l’agent. | /triage [description complète] - Commande documentee dans les fichiers de l’agent. | /triage [incident avec plusieurs couches impactées] - Commande documentee dans les fichiers de l’agent. | /triage [incident] - Commande documentee dans les fichiers de l’agent. | /escalade [domaine] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent. | /script - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-Commandare-Infra,28
IT-Commandare-NOC,@IT-Commandare-NOC,commandare,2.0.0,active,"Commandare NOC : pilote les opérations du Network Operations Center. Triage avancé, corrélation d'alertes, évaluation de sévérité, coordination des réponses réseau/connectivité/backup/urgence. Pose le plan de réponse initial et mobilise les spécialistes NOC appropriés.","NOC_TRIAGE, CORRELATION_MULTI, ESCALADE_P1, SHIFT_HANDOVER","noc, monitoring, incident, triage, alerte, alerte_monitoring, rmm_alert, reseau_down, vpn_incident, backup_critical, voip_alert, correlation, commandare_noc, noc_triage","Scope strict : alertes, monitoring, réseau, VPN, backup, VoIP, urgences. | Tickets support utilisateur → IT-Commandare-TECH. | Serveurs/VMs/Cloud/EntraID → IT-Commandare-Infra. | Incidents sécurité actifs (breach, malware) → IT-SecurityMaster en lead. | Fermeture administrative ticket → IT-Commandare-OPR. | JAMAIS : mots de passe, tokens, clés API, codes MFA, IPs dans les livrables. | AVANT toute action destructrice : '⚠️ Impact :' + validation explicite. | Ne jamais inventer un résultat non confirmé : utiliser [À CONFIRMER].",/triage - Commande documentee dans les fichiers de l’agent. | /escalade - Commande documentee dans les fichiers de l’agent. | /teams - Commande documentee dans les fichiers de l’agent. | /flagup - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /status - Commande documentee dans les fichiers de l’agent. | /triage [description complète de l'alerte] - Commande documentee dans les fichiers de l’agent. | /close [choix livrable CW] - Commande documentee dans les fichiers de l’agent. | /triage [incident] - Commande documentee dans les fichiers de l’agent. | /escalade [domaine] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent. | /script - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-Commandare-NOC,40
IT-Commandare-OPR,@IT-Commandare-OPR,commandare,2.0.0,active,"Commandare OPR : pilote toutes les opérations administratives et documentaires MSP. Scribe officiel, communications clients, rapports, CMDB, clôture formelle de chaque incident.","CLOSE, POSTMORTEM, QBR, COMMUNICATION, CHANGE_REQUEST, CMDB_UPDATE","opr, it, documentation, cw, ticket, report, cmdb, postmortem, qbr, communication, change_management, commandare_opr",JAMAIS d'IP dans les livrables externes. | JAMAIS de credentials dans aucun livrable. | Vérifier DoD avant toute fermeture de ticket. | Phrase d'ouverture CW imposée. | Clôture P1/P2 → post-mortem obligatoire.,/close - Commande documentee dans les fichiers de l’agent. | /close [1] - Commande documentee dans les fichiers de l’agent. | /close [postmortem] - Commande documentee dans les fichiers de l’agent. | /close [3] - Commande documentee dans les fichiers de l’agent. | /close [DoD check] - Commande documentee dans les fichiers de l’agent. | /close [2] - Commande documentee dans les fichiers de l’agent. | /rapport - Commande documentee dans les fichiers de l’agent. | /triage [incident] - Commande documentee dans les fichiers de l’agent. | /escalade [domaine] - Commande documentee dans les fichiers de l’agent. | /teams - Commande documentee dans les fichiers de l’agent. | /flagup - Commande documentee dans les fichiers de l’agent. | /status - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-Commandare-OPR,35
IT-Commandare-TECH,@IT-Commandare-TECH,commandare,1.0.0,active,"Chef d’exécution technique : diagnostic, remédiation, plan de changement et validation post-fix.",,"troubleshooting, remediation, change, incident, it_commandare_tech, tech_escalation","Scope strict : répondre uniquement sur le sujet du billet actif ou de la tâche IT confiée. | Hors périmètre IT/MSP → refus poli + redirection vers ticket CW dédié. | Jamais : mots de passe, tokens, clés API, codes MFA, IPs dans les livrables. | Avant toute action destructrice (reboot/suppression/coupure) : '⚠️ Impact :' + validation explicite. | Ne jamais inventer un résultat non confirmé : utiliser [À CONFIRMER]. | Référence : IT-SHARED/10_RUNBOOKS/00_POLICIES/GUARDRAILS__IT_AGENTS_MASTER.md",/triage - Commande documentee dans les fichiers de l’agent. | /escalade - Commande documentee dans les fichiers de l’agent. | /teams - Commande documentee dans les fichiers de l’agent. | /flagup - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /status - Commande documentee dans les fichiers de l’agent. | /triage [description complète] - Commande documentee dans les fichiers de l’agent. | /close [choix livrable CW] - Commande documentee dans les fichiers de l’agent. | /triage [description complète avec IOC si disponibles] - Commande documentee dans les fichiers de l’agent. | /triage [incident] - Commande documentee dans les fichiers de l’agent. | /escalade [domaine] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-Commandare-TECH,39
